id,y,x
59,30.206536,-90.385136
60,30.207936,-90.382409
61,30.209335,-90.379681
62,30.210735,-90.376953
63,30.212134,-90.374226
64,30.213533,-90.371498
65,30.214932,-90.36877
66,30.216332,-90.366042
67,30.217731,-90.363314
68,30.21913,-90.360586
69,30.220529,-90.357857
70,30.221927,-90.355129
71,30.223326,-90.3524
72,30.224725,-90.349672
73,30.226124,-90.346943
74,30.227522,-90.344214
75,30.228921,-90.341486
76,30.230319,-90.338757
77,30.231717,-90.336028
78,30.233116,-90.333298
79,30.234514,-90.330569
80,30.235912,-90.32784
81,30.23731,-90.325111
82,30.238708,-90.322381
83,30.240106,-90.319651
84,30.241504,-90.316922
85,30.242902,-90.314192
86,30.244299,-90.311462
87,30.245697,-90.308732
88,30.247095,-90.306002
89,30.248492,-90.303272
