id,y,x
0,30.058146,-90.414833
1,30.060287,-90.412851
2,30.062428,-90.410869
3,30.064569,-90.408887
4,30.06671,-90.406905
5,30.068851,-90.404923
6,30.070992,-90.402941
7,30.073133,-90.400959
8,30.075274,-90.398977
9,30.077415,-90.396994
10,30.079556,-90.395011
11,30.081696,-90.393029
12,30.083837,-90.391046
13,30.085978,-90.389063
14,30.088118,-90.38708
15,30.090559,-90.387223
16,30.093134,-90.388324
17,30.095709,-90.389424
18,30.098284,-90.390524
19,30.100858,-90.391624
20,30.103433,-90.392725
21,30.106008,-90.393825
22,30.108583,-90.394925
23,30.111158,-90.396026
24,30.113733,-90.397127
25,30.116307,-90.398227
26,30.118882,-90.399328
27,30.121457,-90.400429
28,30.124031,-90.40153
29,30.126606,-90.402631
30,30.129181,-90.403732
31,30.131755,-90.404833
32,30.13433,-90.405934
33,30.136904,-90.407035
34,30.139479,-90.408137
