id,y,x
90,30.250955,-90.299354
91,30.253393,-90.297895
92,30.25583,-90.296437
93,30.258268,-90.294978
94,30.260706,-90.293519
95,30.263143,-90.29206
96,30.265581,-90.290601
97,30.268018,-90.289142
98,30.270456,-90.287683
99,30.272893,-90.286224
100,30.275331,-90.284764
101,30.277768,-90.283305
102,30.280205,-90.281845
103,30.282643,-90.280386
104,30.28508,-90.278926
105,30.287517,-90.277466
106,30.289954,-90.276006
107,30.292392,-90.274546
108,30.294829,-90.273086
109,30.297266,-90.271626
110,30.299703,-90.270166
111,30.30214,-90.268706
112,30.304577,-90.267245
113,30.307014,-90.265785
