id,y,x
154,30.366115,-90.168503
155,30.365458,-90.165419
156,30.3648,-90.162335
157,30.364142,-90.159251
158,30.363484,-90.156167
159,30.362826,-90.153084
160,30.362168,-90.15
161,30.36151,-90.146916
162,30.360852,-90.143833
163,30.360194,-90.140749
164,30.359535,-90.137666
165,30.358877,-90.134582
166,30.358218,-90.131499
167,30.35756,-90.128415
168,30.356901,-90.125332
169,30.356242,-90.122249
170,30.355583,-90.119166
171,30.354924,-90.116082
172,30.354265,-90.112999
173,30.353606,-90.109916
174,30.352947,-90.106833
175,30.352288,-90.10375
176,30.351628,-90.100667
177,30.350969,-90.097585
178,30.35171,-90.09556
179,30.354414,-90.095017
180,30.357118,-90.094474
181,30.359822,-90.093931
182,30.362526,-90.093388
183,30.365231,-90.092845
184,30.367935,-90.092303
185,30.370639,-90.09176
186,30.373343,-90.091217
187,30.376047,-90.090673
